
=================== Run: 2025-10-31 06:22:00.639239 ===================

🚀 Expert Supreme — 3-Fold Stratified CV
Supreme[fold 1] ✅ Using 2 GPUs
Supreme[F1] Ep01 | loss=0.4356 | acc=0.5275 | f1=0.5116 | prec=0.5116 | rec=0.5116 | mcc=0.0232 | thr=0.59
Supreme[F1] Ep02 | loss=0.3951 | acc=0.5433 | f1=0.5113 | prec=0.5153 | rec=0.5141 | mcc=0.0294 | thr=0.55
Supreme[F1] Ep03 | loss=0.3820 | acc=0.5495 | f1=0.5305 | prec=0.5311 | rec=0.5305 | mcc=0.0616 | thr=0.52
Supreme[F1] Ep04 | loss=0.3739 | acc=0.5310 | f1=0.5300 | prec=0.5390 | rec=0.5400 | mcc=0.0790 | thr=0.51
Supreme[F1] Ep05 | loss=0.3684 | acc=0.5630 | f1=0.5359 | prec=0.5396 | rec=0.5371 | mcc=0.0766 | thr=0.52
Supreme[F1] Ep06 | loss=0.3626 | acc=0.5554 | f1=0.5481 | prec=0.5489 | rec=0.5502 | mcc=0.0992 | thr=0.52
Supreme[F1] Ep07 | loss=0.3599 | acc=0.5554 | f1=0.5508 | prec=0.5532 | rec=0.5549 | mcc=0.1080 | thr=0.52
Supreme[F1] Ep08 | loss=0.3571 | acc=0.5653 | f1=0.5544 | prec=0.5543 | rec=0.5550 | mcc=0.1093 | thr=0.53
Supreme[F1] Ep09 | loss=0.3538 | acc=0.5654 | f1=0.5572 | prec=0.5575 | rec=0.5589 | mcc=0.1164 | thr=0.53
Supreme[F1] Ep10 | loss=0.3510 | acc=0.5734 | f1=0.5608 | prec=0.5606 | rec=0.5610 | mcc=0.1216 | thr=0.54
Supreme[F1] Ep11 | loss=0.3492 | acc=0.5754 | f1=0.5640 | prec=0.5639 | rec=0.5645 | mcc=0.1284 | thr=0.54
Supreme[F1] Ep12 | loss=0.3484 | acc=0.5758 | f1=0.5673 | prec=0.5674 | rec=0.5688 | mcc=0.1362 | thr=0.54
Supreme[F1] Ep13 | loss=0.3456 | acc=0.5790 | f1=0.5688 | prec=0.5686 | rec=0.5696 | mcc=0.1382 | thr=0.54
Supreme[F1] Ep14 | loss=0.3441 | acc=0.5791 | f1=0.5707 | prec=0.5708 | rec=0.5724 | mcc=0.1432 | thr=0.54
Supreme[F1] Ep15 | loss=0.3420 | acc=0.5832 | f1=0.5728 | prec=0.5725 | rec=0.5735 | mcc=0.1461 | thr=0.54
Supreme[F1] Ep16 | loss=0.3403 | acc=0.5847 | f1=0.5743 | prec=0.5741 | rec=0.5751 | mcc=0.1492 | thr=0.54
Supreme[F1] Ep17 | loss=0.3396 | acc=0.5827 | f1=0.5743 | prec=0.5743 | rec=0.5758 | mcc=0.1501 | thr=0.54
Supreme[F1] Ep18 | loss=0.3374 | acc=0.5860 | f1=0.5772 | prec=0.5771 | rec=0.5787 | mcc=0.1558 | thr=0.54
Supreme[F1] Ep19 | loss=0.3353 | acc=0.5848 | f1=0.5772 | prec=0.5774 | rec=0.5793 | mcc=0.1568 | thr=0.54
Supreme[F1] Ep20 | loss=0.3339 | acc=0.5866 | f1=0.5778 | prec=0.5777 | rec=0.5793 | mcc=0.1570 | thr=0.54
Supreme[F1] Ep21 | loss=0.3343 | acc=0.5856 | f1=0.5779 | prec=0.5781 | rec=0.5800 | mcc=0.1580 | thr=0.54
Supreme[F1] Ep22 | loss=0.3319 | acc=0.5870 | f1=0.5792 | prec=0.5793 | rec=0.5811 | mcc=0.1603 | thr=0.54
